data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6860152,887,YEM47058,47058,"01 February 2020",2020,1,Battles,"Armed clash","Military Forces of Yemen (2012-)","Southern Resistance",1,"Military Forces of Yemen (2016-) Supreme Political Council",,1,11,"Middle East",Yemen,"Ad Dali",Qaatabah,,"Al Jubb",13.8309,44.6009,2,"Khabar News Agency (Yemen); Yemen Data Project","Local partner-National","On 1 February 2020, joint forces and Southern Resistance fighters claimed to have thwarted attacks of pro-Houthi forces on Battar, Ghaliq and Jubb fronts (Al-Husha and Qa'atabah, Al-Dali) with no report of fatalities nor injuries.",0,1581354349,YEM
6860153,887,YEM47059,47059,"01 February 2020",2020,1,Battles,"Armed clash","Military Forces of Yemen (2012-)","Southern Resistance",1,"Military Forces of Yemen (2016-) Supreme Political Council",,1,11,"Middle East",Yemen,"Ad Dali",Qaatabah,,"Bab Ghaliq",13.925,44.6493,2,"Khabar News Agency (Yemen); Yemen Data Project","Local partner-National","On 1 February 2020, joint forces and Southern Resistance fighters claimed to have thwarted attacks of pro-Houthi forces on Battar, Ghaliq and Jubb fronts (Al-Husha and Qa'atabah, Al-Dali) with no report of fatalities nor injuries.",0,1581354349,YEM
6860154,887,YEM47066,47066,"01 February 2020",2020,1,"Explosions/Remote violence","Air/drone strike","Operation Restoring Hope",,8,"Military Forces of Yemen (2012-)","Militia (Pro-Government)",1,18,"Middle East",Yemen,Marib,"Harib Al Qaramish",,"Al Jafrah",15.4988,44.6791,1,"Yemen Data Project; YNP","Local partner-National","On 1 February 2020, a Saudi-led coalition airstrike reportedly unintentionally targeted pro-Hadi and affiliated forces in Al Jafrah (Harib al Qaramish, Marib), killing dozens of pro-Hadi elements. Dozens of fatalities coded as 12.",12,1581354349,YEM
6768002,887,YEM47007,47007,"01 February 2020",2020,1,"Violence against civilians",Attack,"Military Forces of Yemen (2016-) Supreme Political Council",,1,"Civilians (Yemen)",,7,17,"Middle East",Yemen,"Ad Dali",Qaatabah,,"Asaf Murays",13.8912,44.7731,2,"Al Wafaq; Yemen Data Project","Local partner-National","On 1 February 2020, a pro-Houthi sniper reportedly opened fire on a civilian north of Murays (Qaatabah, Ad Dali), killing him.",1,1580761019,YEM
6768003,887,YEM47008,47008,"01 February 2020",2020,1,"Violence against civilians",Attack,"Unidentified Armed Group (Yemen)",,3,"Civilians (Yemen)","Government of Yemen (2012-)",7,37,"Middle East",Yemen,Aden,"Khur Maksar",,"Aden-Khawr Maksar",12.8123,45.0334,2,"NTH News; Yemen Data Project","Local partner-National","On 1 February 2020, an unidentified armed group, composed by 6 men on board of a military vehicle, reportedly opened fire on the house of the general director of Aden airport and inside the neighbourhood. No fatalities nor injuries reported.",0,1580761019,YEM
6768004,887,YEM47010,47010,"01 February 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","National Resistance Forces",,3,,,0,30,"Middle East",Yemen,"Al Hudaydah","Ad Durayhimi",,Shajan,14.6396,43.1055,2,"Ansar Allah; Yemen Data Project","Local partner-National","On 1 February 2020, anti-Houthi National Resistance forces reportedly fired more than 7 mortar shells at farms south of Shajan village. No fatalities nor injuries reported.",0,1580761019,YEM
6768005,887,YEM47011,47011,"01 February 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","National Resistance Forces",,3,,,0,30,"Middle East",Yemen,"Al Hudaydah","Al Hali",,"Al Hudaydah-Al Yamani Dairy Factory",14.7804,42.9998,1,"Ansar Allah; Yemen Data Project","Local partner-National","On 1 February 2020, anti-Houthi National Resistance forces reportedly fired machine guns at Sanaa street [Al Yamani Dairy Factory] and 50 Street (Al Hali, Al Hudaydah), and at Madinat Al Shaab (Al Mina, Al Hudaydah). No fatalities nor injuries reported.",0,1580761019,YEM
6768006,887,YEM47012,47012,"01 February 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","National Resistance Forces",,3,,,0,30,"Middle East",Yemen,"Al Hudaydah","Al Hali",,"Al Hudaydah-Street 50",14.7939,42.9994,1,"Yemen Data Project; Ansar Allah","Local partner-National","On 1 February 2020, anti-Houthi National Resistance forces reportedly fired machine guns at Sanaa street [Al Yamani Dairy Factory] and 50 Street (Al Hali, Al Hudaydah), and at Madinat Al Shaab (Al Mina, Al Hudaydah). No fatalities nor injuries reported.",0,1580761019,YEM
6768007,887,YEM47013,47013,"01 February 2020",2020,1,"Explosions/Remote violence","Shelling/artillery/missile attack","National Resistance Forces",,3,,,0,30,"Middle East",Yemen,"Al Hudaydah","Al Mina",,"Al Hudaydah-Al Shaab",14.8006,42.9432,1,"Ansar Allah; Yemen Data Project","Local partner-National","On 1 February 2020, anti-Houthi National Resistance forces reportedly fired machine guns at Sanaa street [Al Yamani Dairy Factory] and 50 Street (Al Hali, Al Hudaydah), and at Madinat Al Shaab (Al Mina, Al Hudaydah). No fatalities nor injuries reported.",0,1580761019,YEM
6768008,887,YEM47014,47014,"01 February 2020",2020,1,Battles,"Armed clash","Military Forces of Yemen (2016-) Supreme Political Council",,1,"National Resistance Forces",,3,13,"Middle East",Yemen,"Al Hudaydah","At Tuhayat",,"Al Jabaliyah",14.0725,43.1589,1,"Ansar Allah; Yemen Data Project","Local partner-National","On 1 February 2020, pro-Houthi forces reportedly thwarted an anti-Houthi National Resistance forces attack in Al Jabaliyah area (At Tuhayat, Al Hudaydah). No fatalities nor injuries reported.",0,1580761019,YEM
