data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6860245,887,YEM47185,47185,05-Feb-20,2020,1,Battles,Armed clash,Military Forces of Yemen (2016-) Supreme Political Council,,1,National Resistance Forces,,3,13,Middle East,Yemen,Al Hudaydah,Bayt Al Faqiah,,Al Jah,14.2833,43.0667,2,Al Masirah; Yemen Data Project,Local partner-National,On 5 February 2020 pro-Houthi forces claimed to have thwarted an attack of anti-Houthi National Resistance forces south of Al-Jah area in western Yemen (Bayt Al-Faqiah Hodeidah) with no report of fatalities nor injuries.,0,1581354349,YEM
6860246,887,YEM47186,47186,05-Feb-20,2020,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Yemen (2016-) Supreme Political Council,,1,,,0,10,Middle East,Yemen,Al Hudaydah,Bayt Al Faqiah,,Al Jah,14.2833,43.0667,1,Yemen Data Project; Al Amaliqah,Local partner-National,On 5 February 2020 pro-Houthi forces reportedly fired machine guns at houses in Al-Jah area in western Yemen (Bayt Al-Faqiah Hodeidah) with no report of fatalities nor injuries.,0,1581354349,YEM
6860247,887,YEM47187,47187,05-Feb-20,2020,1,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,,,0,80,Middle East,Yemen,Al Jawf,Al Ghayl,,Al Ghayl,16.1077,44.6801,1,Yemen Data Project; Al Masirah,Local partner-National,On 5 February 2020 a Saudi-led coalition air raid was reported on Al-Ghayl district in northern Yemen (Al-Ghayl Al-Jawf) for the second consecutive day with no report of fatalities nor injuries.,0,1581354349,YEM
6860248,887,YEM47192,47192,05-Feb-20,2020,1,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,,,0,80,Middle East,Yemen,Amanat al Asimah,Bani Al Harith,,Sanaa-Sanaa International Airport,15.4763,44.2197,2,Yemen Data Project; Al Motabaat,Local partner-National,On 5 February 2020 two Saudi-led coalition air raids were reported in the vicinity of Sana'a International Airport in the north of the city (Bani Al-Harith Amanat Al-Asimah) with no report of fatalities nor injuries.,0,1581354349,YEM
6860249,887,YEM47194,47194,05-Feb-20,2020,1,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,,,0,80,Middle East,Yemen,Marib,Majzar,,Mafraq Jawf,15.7614,44.7209,1,Yemen Data Project; Al Masirah,Local partner-National,On 5 February 2020 two Saudi-led coalition air raids were reported on Majzar district in the northeast of Sana'a (Marib) with no report of fatalities nor injuries including one on Al-Jawf Junction area.,0,1581354349,YEM
6860250,887,YEM47195,47195,05-Feb-20,2020,1,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,,,0,80,Middle East,Yemen,Marib,Majzar,,Majzar,15.85,44.775,2,Yemen Data Project; Al Masirah,Local partner-National,On 5 February 2020 two Saudi-led coalition air raids were reported on Majzar district in the northeast of Sana'a (Marib) with no report of fatalities nor injuries including one on Al-Jawf Junction area.,0,1581354349,YEM
6860251,887,YEM47196,47196,05-Feb-20,2020,1,Battles,Armed clash,Military Forces of Yemen (2012-),,1,Military Forces of Yemen (2012-),,1,11,Middle East,Yemen,Marib,Marib City,,Marib,15.461,45.3253,1,Mujtahid News; Yemen Data Project,Local partner-National,"On 5 February 2020 clashes were reported between factions of the pro-Hadi army in Sirwah Street of Marib city resulting in ""casualties"" - unclear if deaths or injuries. Amid rumours of an Emirati plan to overtake Marib the clashes erupted after a meeting between the commander of the 3rd Military District and the commander of Joint Operations.",0,1581354349,YEM
6860253,887,YEM47198,47198,05-Feb-20,2020,1,Explosions/Remote violence,Air/drone strike,Operation Restoring Hope,,8,,,0,80,Middle East,Yemen,Sadah,Al Dhaher,,Al Malahit,16.7685,43.2758,2,Yemen Data Project; Al Masirah,Local partner-National,On 5 February 2020 a Saudi-led coalition air raid was reported on Al-Dhahir border district in north-western Yemen (Al-Dhahir Sadah) with no report of fatalities nor injuries.,0,1581354349,YEM
6860254,887,YEM47199,47199,05-Feb-20,2020,1,Battles,Armed clash,Military Forces of Yemen (2016-) Supreme Political Council,,1,Military Forces of Yemen (2012-),Militia (Pro-Government); Operation Restoring Hope,1,11,Middle East,Yemen,Sadah,Kitaf wa Al Boqee,,As Sawh,17.3481,44.1279,1,Al Masirah; Yemen Data Project,Local partner-National,On 5 February 2020 pro-Houthi forces claimed to have thwarted an attack of coalition backed pro-Hadi forces and affiliates on Al-Sawh border area in north-western Yemen (Kitaf wa Al-Buqa' Sadah) killing and injuring a number of fighters. Unknown reported fatalities coded as 10.,10,1581354349,YEM
6860255,887,YEM47200,47200,05-Feb-20,2020,1,Violence against civilians,Attack,Operation Restoring Hope,Military Forces of Saudi Arabia (2015-),8,Civilians (Yemen),,7,78,Middle East,Yemen,Sadah,Monabbih,,Ar Raqw,17.2553,43.2028,1,Yemen Data Project; Al Masirah,Local partner-National,On 5 February 2020 a Yemeni citizen was reported killed by cross-border fire from Saudi border guards in Al-Raqw area in north-western Yemen (Monabbih Sadah).,1,1581354349,YEM
6860256,887,YEM47201,47201,05-Feb-20,2020,1,Explosions/Remote violence,Shelling/artillery/missile attack,Operation Restoring Hope,Military Forces of Saudi Arabia (2015-),8,,,0,80,Middle East,Yemen,Sadah,Razih,,An Nazir,16.9092,43.2623,2,Al Masirah; Yemen Data Project,Local partner-National,On 5 February 2020 Saudi rocket and artillery shelling was reported on populated villages of Razih border district in north-western Yemen (Razih Sadah) with no report of fatalities nor injuries.,0,1581354349,YEM
6860257,887,YEM47204,47204,05-Feb-20,2020,1,Battles,Armed clash,Unidentified Armed Group (Yemen),,3,Private Security Forces (Yemen),Government of Yemen (2012-),8,38,Middle East,Yemen,Shabwah,Ataq,,Ataq,14.5377,46.8319,1,Crater Sky; Yemen Data Project,Local partner-National,On 5 February 2020 unidentified gunmen reportedly attacked the house of Shabwah governor sparking clashes with his guards. The assailants fled with no report of fatalities nor injuries.,0,1581354349,YEM
6860258,887,YEM47205,47205,05-Feb-20,2020,1,Battles,Armed clash,Military Forces of Yemen (2016-) Supreme Political Council,,1,Military Forces of Yemen (2012-),Militia (Pro-Government),1,11,Middle East,Yemen,Taizz,Al Mudhaffar,,Taizz-Bir Bashah,13.5889,43.9758,2,Al Masirah; Yemen Data Project,Local partner-National,On 5 February 2020 pro-Houthi forces claimed to have attacked pro-Hadi forces and affiliates near the Air Defence camp in Bir Basha area in the western front of Taizz (Al-Mudhaffar Taizz) killing and injuring a number of fighters. Unknown reported fatalities coded as 10.,10,1581354349,YEM
6860259,887,YEM47206,47206,05-Feb-20,2020,1,Battles,Armed clash,Military Forces of Yemen (2012-) 35th Armored Brigade,,1,Military Forces of Yemen (2016-) Supreme Political Council,,1,11,Middle East,Yemen,Taizz,Dimnat Khadir,,Al Uqrud,13.4211,44.2296,2,Al Mashhad Al Yemeni; Twitter; Yemen Data Project,Local partner-National,On 5 February 2020 pro-Hadi forces of the 35th Armoured Brigade reportedly thwarted a large-scale attack of pro-Houthi forces towards Al-Uqrud area in southwestern Yemen (Dimnat Khadir Taizz) with no report of fatalities nor injuries.,0,1581354349,YEM
6860260,887,YEM47207,47207,05-Feb-20,2020,1,Battles,Armed clash,National Resistance Forces,Giants Brigade,3,Military Forces of Yemen (2016-) Supreme Political Council,,1,13,Middle East,Yemen,Taizz,Maqbanah,,Barh,13.4407,43.7034,2,Yemen Data Project; Aden News; Twitter,Local partner-National,On 5 February 2020 anti-Houthi forces of the 8th Giants Brigade reportedly attacked pro-Houthi forces in Barh front and Jabal Ruwayqi in southwestern Yemen (Maqbanah Taizz) with no report of fatalities nor injuries.,0,1581354349,YEM
